"set_num","name","year","theme_id","num_parts","total_quantity","version","inventory_ids"
"00-2",Weetabix Promotional House 1,1976,413,147,1,1,{3574}
"00-3",Weetabix Promotional House 2,1976,413,149,1,1,{3574}
"00-4",Weetabix Promotional Windmill,1976,413,126,1,1,{3574}
"10000-1",Guarded Inn,2001,186,256,1,1,{7474}
"10001-1",Metroliner,2001,233,785,1,1,{13941}
"10002-1",Railroad Club Car,2001,233,272,1,1,{13941}
"10013-1",Open Freight Wagon,2001,238,121,1,1,{13917}
"10017-1",Hopper Wagon,2001,238,228,1,1,{13917}
"10020-1","Santa Fe Super Chief, NOT the Limited Edition",2002,236,427,2,1,"{10158,13083}"
"10022-1","Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,2,1,"{10158,13083}"
"10024-1",Red Baron,2002,276,669,2,1,"{14812,16127}"
"10025-1",Santa Fe Cars - Set I (mail or baggage car),2002,237,325,2,1,"{10158,13083}"
"10039-1",Black Falcon's Fortress,2002,186,431,1,1,{7474}
"10041-1","Main Street, Reissue",2003,85,639,1,1,{8202}
"10049-1",Large Wheels and Axles,2002,254,31,1,1,{5955}
"10068-1",Santa Claus,2002,227,39,2,1,"{12121,15973}"
"10069-1",Christmas Tree,2002,227,33,2,1,"{12121,15973}"
"10070-1",Reindeer,2002,227,26,2,1,"{12121,15973}"
"10072-1",TECHNIC Beams,2003,256,56,1,1,{5955}
"10074-1",Cross Axles,2003,256,68,1,1,{5955}
"10075-1",Spider-Man Action Pack,2002,488,25,1,1,{9750}
"10076-1",TECHNIC Gear Wheels,2002,256,38,1,1,{5955}
"10079-1",Snowman,2003,227,42,1,1,{12121}
"10080-1",Angel,2003,227,33,1,1,{12121}
"10081-1",Birthday Pack Heart,2004,500,70,1,1,{4718}
"10082-1",Birthday Pack Daisy,2004,500,70,1,1,{4718}
"10083-1",Birthday Pack Star,2004,500,70,1,1,{4718}
"10121-1",NBA Basketball Teams,2003,459,16,1,1,{14222}
"10124-1",Wright Flyer,2003,276,663,1,1,{14812}
"10127-1",NHL Action Set with Stickers,2003,461,56,1,1,{2382}
"10131-1",TIE Fighter Collection,2004,169,688,1,1,{2488}
"10132-1",Motorized Hogwarts Express,2004,246,693,1,1,{6050}
"10153-1",Electric Train Motor 9V (My Own Train),2002,244,3,1,1,{13917}
"10158-1",High Speed Train Car,2004,239,151,1,1,{5358}
"10173-1",Holiday Train,2006,236,969,1,1,{8997}
"10176-1",Royal King's Castle,2006,197,871,1,1,{10799}
"10194-1",Emerald Night,2009,240,1089,1,1,{7391}
"10233-1",Horizon Express,2013,240,1349,1,1,{87}
"1062-1",{Town Vehicles},1980,533,158,1,1,{8918}
"1064-1",Dacta Buildings,1981,533,0,1,1,{8918}
"1088-1",Road Burner,1999,87,25,1,1,{12146}
"1098-1",Hang Glider,1998,87,19,1,1,{12146}
"1188-1",Fire Formula,1999,87,38,1,1,{15560}
"1189-1",Rocket Boat,1999,87,30,1,1,{15560}
"1190-1",Retro Buggy,1999,87,90,1,1,{15560}
"11905-1",DK Star Wars Brickmaster: Battle For The Stolen Crystals,2013,497,189,1,1,{9243}
"11905-1",DK Star Wars Brickmaster: Battle For The Stolen Crystals,2013,497,189,1,2,{9243}
"1191-1",Try Bird,1999,87,34,1,1,{15560}
"1196-1",Biker with Bicycle,2000,458,7,1,1,{5675}
"1197-1",Telekom Race Cyclist and Television Motorbike,2000,458,30,1,1,{5675}
"1198-1",Service Team - 2 Bikers with Service Tools,2000,458,76,1,1,{5675}
"1199-1",Winning Team,2000,458,110,1,1,{5675}
"1246-1",Helicopter,1999,50,26,1,1,{13380}
"1247-1",Patrol Car,1999,50,32,1,1,{13380}
"1248-1",Fire Boat,1999,50,24,1,1,{13380}
"1249-1",Tri-motorbike,1999,60,17,1,1,{13380}
"1250-1",Dragster,1999,91,24,1,1,{13380}
"1251-1",Go-Cart,1999,91,25,1,1,{13380}
"1252-1",Shell Tanker,1999,99,106,1,1,{8202}
"1254-1",Shell Select Shop,1999,99,164,1,1,{8202}
"1255-1",Shell Car Wash,1999,99,136,1,1,{8202}
"1274-1",Light Hover,2000,442,25,1,1,{14079}
"1275-1",{Rock Saw Vehicle},2000,442,22,1,1,{14079}
"1276-1",Helicopter Transport,2000,442,22,1,1,{14079}
"1277-1",Drill Craft,2000,442,27,1,1,{14079}
"1278-1",Johnny Thunder & Baby T,2000,298,23,1,1,{6253}
"1279-1",Aeroplane,2000,298,21,1,1,{6253}
"1280-1",Microcopter,2000,298,28,1,1,{6253}
"1281-1",Aeroplane,2000,298,25,1,1,{6253}
"1282-1",Blue Racer,2000,91,23,1,1,{8425}
"1283-1",Red Four Wheel Driver,2000,91,20,1,1,{8425}
"1284-1",Green Buggy,2000,91,23,1,1,{8425}
"1285-1",Yellow Tiger,2001,91,23,1,1,{8425}
"1286-1",King Leo's Cart,2000,197,22,1,1,{12137}
"1287-1",Crossbows,2000,197,16,1,1,{12137}
"1288-1",Fire Cart,2000,197,24,1,1,{12137}
"1289-1",Catapult,2000,197,23,1,1,{12137}
"1290-1",Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,16,35,1,1,{9132}
"1291-1",Power Bike,2000,16,32,1,1,{9132}
"1292-1",Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,16,33,1,1,{9132}
"1293-1",Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,16,25,1,1,{9132}
"1294-1",Fire Helicopter,2000,50,31,1,1,{1373}
"1295-1",Water Rider,2000,87,30,1,1,{1373}
"1296-1",Land Scooper,2000,50,30,1,1,{1373}
"1297-1",Speed Patroller,2000,50,34,1,1,{1373}
"1298-10",Advent Calendar 1998 Classic Basic (Day  9) Whale,1998,221,9,1,1,{10770}
"1298-11",Advent Calendar 1998 Classic Basic (Day 10)  Steamboat,1998,221,12,1,1,{10770}
"1298-12",Advent Calendar 1998 Classic Basic (Day 11) Boat,1998,221,8,1,1,{10770}
"1298-13",Advent Calendar 1998 Classic Basic (Day 12) Airplane,1998,221,12,1,1,{10770}
"1298-14",Advent Calendar 1998 Classic Basic (Day 13) Santa,1998,221,5,1,1,{10770}
"1298-15",Advent Calendar 1998 Classic Basic (Day 14) Airplane,1998,221,9,1,1,{10770}
"1298-16",Advent Calendar 1998 Classic Basic (Day 15) Green Elf,1998,221,9,1,1,{10770}
"1298-17",Advent Calendar 1998 Classic Basic (Day 16) Boat,1998,221,8,1,1,{10770}
"1298-18",Advent Calendar 1998 Classic Basic (Day 17) Mouse,1998,221,9,1,1,{10770}
"1298-19",Advent Calendar 1998 Classic Basic (Day 18) Blue Elf,1998,221,10,1,1,{10770}
"1298-2",Advent Calendar 1998 Classic Basic (Day  1)  Airplane,1998,221,10,1,1,{10770}
"1298-20",Advent Calendar 1998 Classic Basic (Day 19) Boat,1998,221,9,1,1,{10770}
"1298-21",Advent Calendar 1998 Classic Basic (Day 20) Helicopter,1998,221,11,1,1,{10770}
"1298-22",Advent Calendar 1998 Classic Basic (Day 21) Red Elf,1998,221,9,1,1,{10770}
"1298-23",Advent Calendar 1998 Classic Basic (Day 22) Police Boat,1998,221,9,1,1,{10770}
"1298-24",Advent Calendar 1998 Classic Basic (Day 23) Truck,1998,221,10,1,1,{10770}
"1298-25",Advent Calendar 1998 Classic Basic (Day 24) Airplane,1998,221,10,1,1,{10770}
"1298-3",Advent Calendar 1998 Classic Basic (Day  2) Santa,1998,221,5,1,1,{10770}
"1298-4",Advent Calendar 1998 Classic Basic (Day  3) Boat,1998,221,9,1,1,{10770}
"1298-5",Advent Calendar 1998 Classic Basic (Day  4) Boat,1998,221,10,1,1,{10770}
