"set_num","name","year","theme_id","num_parts","inventory_id","version","total_quantity"
"00-2",Weetabix Promotional House 1,1976,413,147,3574,1,1
"00-3",Weetabix Promotional House 2,1976,413,149,3574,1,1
"00-4",Weetabix Promotional Windmill,1976,413,126,3574,1,1
"10000-1",Guarded Inn,2001,186,256,7474,1,1
"10001-1",Metroliner,2001,233,785,13941,1,1
"10002-1",Railroad Club Car,2001,233,272,13941,1,1
"10013-1",Open Freight Wagon,2001,238,121,13917,1,1
"10017-1",Hopper Wagon,2001,238,228,13917,1,1
"10020-1","Santa Fe Super Chief, NOT the Limited Edition",2002,236,427,10158,1,2
"10020-1","Santa Fe Super Chief, NOT the Limited Edition",2002,236,427,13083,1,2
"10022-1","Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,10158,1,2
"10022-1","Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410,13083,1,2
"10024-1",Red Baron,2002,276,669,14812,1,2
"10024-1",Red Baron,2002,276,669,16127,1,2
"10025-1",Santa Fe Cars - Set I (mail or baggage car),2002,237,325,10158,1,2
"10025-1",Santa Fe Cars - Set I (mail or baggage car),2002,237,325,13083,1,2
"10039-1",Black Falcon's Fortress,2002,186,431,7474,1,1
"10041-1","Main Street, Reissue",2003,85,639,8202,1,1
"10049-1",Large Wheels and Axles,2002,254,31,5955,1,1
"10068-1",Santa Claus,2002,227,39,12121,1,2
"10068-1",Santa Claus,2002,227,39,15973,1,2
"10069-1",Christmas Tree,2002,227,33,12121,1,2
"10069-1",Christmas Tree,2002,227,33,15973,1,2
"10070-1",Reindeer,2002,227,26,12121,1,2
"10070-1",Reindeer,2002,227,26,15973,1,2
"10072-1",TECHNIC Beams,2003,256,56,5955,1,1
"10074-1",Cross Axles,2003,256,68,5955,1,1
"10075-1",Spider-Man Action Pack,2002,488,25,9750,1,1
"10076-1",TECHNIC Gear Wheels,2002,256,38,5955,1,1
"10079-1",Snowman,2003,227,42,12121,1,1
"10080-1",Angel,2003,227,33,12121,1,1
"10081-1",Birthday Pack Heart,2004,500,70,4718,1,1
"10082-1",Birthday Pack Daisy,2004,500,70,4718,1,1
"10083-1",Birthday Pack Star,2004,500,70,4718,1,1
"10121-1",NBA Basketball Teams,2003,459,16,14222,1,1
"10124-1",Wright Flyer,2003,276,663,14812,1,1
"10127-1",NHL Action Set with Stickers,2003,461,56,2382,1,1
"10131-1",TIE Fighter Collection,2004,169,688,2488,1,1
"10132-1",Motorized Hogwarts Express,2004,246,693,6050,1,1
"10153-1",Electric Train Motor 9V (My Own Train),2002,244,3,13917,1,1
"10158-1",High Speed Train Car,2004,239,151,5358,1,1
"10173-1",Holiday Train,2006,236,969,8997,1,1
"10176-1",Royal King's Castle,2006,197,871,10799,1,1
"10194-1",Emerald Night,2009,240,1089,7391,1,1
"10233-1",Horizon Express,2013,240,1349,87,1,1
"1062-1",{Town Vehicles},1980,533,158,8918,1,1
"1064-1",Dacta Buildings,1981,533,0,8918,1,1
"1088-1",Road Burner,1999,87,25,12146,1,1
"1098-1",Hang Glider,1998,87,19,12146,1,1
"1188-1",Fire Formula,1999,87,38,15560,1,1
"1189-1",Rocket Boat,1999,87,30,15560,1,1
"1190-1",Retro Buggy,1999,87,90,15560,1,1
"11905-1",DK Star Wars Brickmaster: Battle For The Stolen Crystals,2013,497,189,9243,2,2
"11905-1",DK Star Wars Brickmaster: Battle For The Stolen Crystals,2013,497,189,9243,1,2
"1191-1",Try Bird,1999,87,34,15560,1,1
"1196-1",Biker with Bicycle,2000,458,7,5675,1,1
"1197-1",Telekom Race Cyclist and Television Motorbike,2000,458,30,5675,1,1
"1198-1",Service Team - 2 Bikers with Service Tools,2000,458,76,5675,1,1
"1199-1",Winning Team,2000,458,110,5675,1,1
"1246-1",Helicopter,1999,50,26,13380,1,1
"1247-1",Patrol Car,1999,50,32,13380,1,1
"1248-1",Fire Boat,1999,50,24,13380,1,1
"1249-1",Tri-motorbike,1999,60,17,13380,1,1
"1250-1",Dragster,1999,91,24,13380,1,1
"1251-1",Go-Cart,1999,91,25,13380,1,1
"1252-1",Shell Tanker,1999,99,106,8202,1,1
"1254-1",Shell Select Shop,1999,99,164,8202,1,1
"1255-1",Shell Car Wash,1999,99,136,8202,1,1
"1274-1",Light Hover,2000,442,25,14079,1,1
"1275-1",{Rock Saw Vehicle},2000,442,22,14079,1,1
"1276-1",Helicopter Transport,2000,442,22,14079,1,1
"1277-1",Drill Craft,2000,442,27,14079,1,1
"1278-1",Johnny Thunder & Baby T,2000,298,23,6253,1,1
"1279-1",Aeroplane,2000,298,21,6253,1,1
"1280-1",Microcopter,2000,298,28,6253,1,1
"1281-1",Aeroplane,2000,298,25,6253,1,1
"1282-1",Blue Racer,2000,91,23,8425,1,1
"1283-1",Red Four Wheel Driver,2000,91,20,8425,1,1
"1284-1",Green Buggy,2000,91,23,8425,1,1
"1285-1",Yellow Tiger,2001,91,23,8425,1,1
"1286-1",King Leo's Cart,2000,197,22,12137,1,1
"1287-1",Crossbows,2000,197,16,12137,1,1
"1288-1",Fire Cart,2000,197,24,12137,1,1
"1289-1",Catapult,2000,197,23,12137,1,1
"1290-1",Kabaya Promotional Set: Red (Volcano Climber) RoboRider,2000,16,35,9132,1,1
"1291-1",Power Bike,2000,16,32,9132,1,1
"1292-1",Kabaya Promotional Set: White (Ice Explorer) RoboRider,2000,16,33,9132,1,1
"1293-1",Kabaya Promotional Set: Yellow/Green (Swamp Craft) RoboRider,2000,16,25,9132,1,1
"1294-1",Fire Helicopter,2000,50,31,1373,1,1
"1295-1",Water Rider,2000,87,30,1373,1,1
"1296-1",Land Scooper,2000,50,30,1373,1,1
"1297-1",Speed Patroller,2000,50,34,1373,1,1
"1298-10",Advent Calendar 1998 Classic Basic (Day  9) Whale,1998,221,9,10770,1,1
"1298-11",Advent Calendar 1998 Classic Basic (Day 10)  Steamboat,1998,221,12,10770,1,1
"1298-12",Advent Calendar 1998 Classic Basic (Day 11) Boat,1998,221,8,10770,1,1
"1298-13",Advent Calendar 1998 Classic Basic (Day 12) Airplane,1998,221,12,10770,1,1
"1298-14",Advent Calendar 1998 Classic Basic (Day 13) Santa,1998,221,5,10770,1,1
"1298-15",Advent Calendar 1998 Classic Basic (Day 14) Airplane,1998,221,9,10770,1,1
"1298-16",Advent Calendar 1998 Classic Basic (Day 15) Green Elf,1998,221,9,10770,1,1
"1298-17",Advent Calendar 1998 Classic Basic (Day 16) Boat,1998,221,8,10770,1,1
"1298-18",Advent Calendar 1998 Classic Basic (Day 17) Mouse,1998,221,9,10770,1,1
"1298-19",Advent Calendar 1998 Classic Basic (Day 18) Blue Elf,1998,221,10,10770,1,1
"1298-2",Advent Calendar 1998 Classic Basic (Day  1)  Airplane,1998,221,10,10770,1,1
"1298-20",Advent Calendar 1998 Classic Basic (Day 19) Boat,1998,221,9,10770,1,1
"1298-21",Advent Calendar 1998 Classic Basic (Day 20) Helicopter,1998,221,11,10770,1,1
"1298-22",Advent Calendar 1998 Classic Basic (Day 21) Red Elf,1998,221,9,10770,1,1
"1298-23",Advent Calendar 1998 Classic Basic (Day 22) Police Boat,1998,221,9,10770,1,1
"1298-24",Advent Calendar 1998 Classic Basic (Day 23) Truck,1998,221,10,10770,1,1
"1298-25",Advent Calendar 1998 Classic Basic (Day 24) Airplane,1998,221,10,10770,1,1
"1298-3",Advent Calendar 1998 Classic Basic (Day  2) Santa,1998,221,5,10770,1,1
"1298-4",Advent Calendar 1998 Classic Basic (Day  3) Boat,1998,221,9,10770,1,1
"1298-5",Advent Calendar 1998 Classic Basic (Day  4) Boat,1998,221,10,10770,1,1
"1298-6",Advent Calendar 1998 Classic Basic (Day  5) Sailboat,1998,221,10,10770,1,1
"1298-7",Advent Calendar 1998 Classic Basic (Day  6) Airplane,1998,221,10,10770,1,1
"1298-8",Advent Calendar 1998 Classic Basic (Day  7) Helicopter,1998,221,8,10770,1,1
"1298-9",Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,221,9,10770,1,1
"1374-1",Green Goblin,2002,488,59,2239,1,2
"1374-1",Green Goblin,2002,488,59,9750,1,2
"1376-1",Spider-Man Action Studio,2002,488,249,2239,1,2
"1376-1",Spider-Man Action Studio,2002,488,249,9750,1,2
"1380-1",Werewolf Ambush,2002,273,114,10995,1,1
"1381-1",Vampire's Crypt,2002,273,171,10995,1,1
"1382-1",Scary Laboratory,2002,273,500,10995,1,1
"1383-1",Curse of the Pharaoh,2002,273,52,10995,1,1
"1413-1",Rover,2001,135,29,3367,1,1
"1414-1",Double Hover (Kabaya Promotional),2001,135,21,3367,1,1
"1415-1",Jet Scooter,2001,135,24,3367,1,1
"1416-1",Worker Robot,2001,135,30,3367,1,1
"1417-1",Vakama,2001,356,28,12856,1,1
"1417-2",Vakama (bagged),2003,356,28,11418,1,1
"1418-1",Matau,2001,356,25,12856,1,1
"1419-1",Nokama (Kabaya Promotional),2001,356,27,12856,1,1
"1420-1",Nuju,2001,356,29,12856,1,1
"1421-1",Director's Copter (Kabaya Promotional),2001,273,22,4536,1,1
"1422-1",Camera Cart (Kabaya Promotional),2001,273,20,4536,1,1
"1423-1",Air Boat (Kabaya Promotional),2001,273,24,4536,1,1
"1424-1",Stunt Go-Kart (Kabaya Promotional),2001,273,25,4536,1,1
"1428-1",Small Soccer Set 1 (Kabaya Box),2002,462,24,7902,1,1
"1429-1",Small Soccer Set 2 (Kabaya Box),2002,462,19,7902,1,1
"1430-1",Small Soccer Set 3 (Kabaya Box),2002,462,12,7902,1,1
